Zeit	Kanal A	Kanal B
(s)	(V)	(V)

1.49541452	3.82458000	1.99011200
1.49674852	3.82458000	1.99011200
1.49808252	3.82458000	1.99011200
1.49941652	3.82458000	1.99011200
1.50075052	3.64574100	1.99011200
1.50208452	3.82458000	1.99011200
1.50341852	4.00341800	1.99011200
1.50475252	4.00341800	1.99011200
1.50608652	4.00341800	1.99011200
1.50742052	4.00341800	1.99011200
1.50875452	4.00341800	1.99011200
1.51008852	4.00341800	1.99011200
1.51142252	4.00341800	1.99011200
1.51275652	4.00341800	1.99011200
1.51409052	4.00341800	1.99011200
1.51542452	3.82458000	1.99011200
1.51675852	4.00341800	1.99011200
1.51809252	4.00341800	1.99011200
1.51942652	4.00341800	1.99011200
1.52076052	4.00341800	1.99011200
1.52209452	4.00341800	1.99011200
1.52342852	4.00341800	1.99011200
1.52476252	4.00341800	1.99011200
1.52609652	4.00341800	1.99011200
1.52743052	4.00341800	1.99011200
1.52876452	4.00341800	1.99011200
1.53009852	4.00341800	1.99011200
1.53143252	4.00341800	1.99011200
1.53276652	4.00341800	1.99011200
1.53410052	4.00341800	1.99011200
1.53543452	4.00341800	1.99011200
1.53676852	4.00341800	1.99011200
1.53810252	4.00341800	1.99011200
1.53943652	4.00341800	1.99011200
1.54077052	4.00341800	1.99011200
1.54210452	4.00341800	1.99011200
1.54343852	4.00341800	1.99011200
1.54477252	4.00341800	1.99011200
1.54610652	4.00341800	1.99011200
1.54744052	4.18225700	1.99011200
1.54877452	4.00341800	1.99011200
1.55010852	4.18225700	1.99011200
1.55144252	4.18225700	1.99011200
1.55277652	4.00341800	1.99011200
1.55411052	4.18225700	1.99011200
